dataset_id,tile_r,tile_c,tile_h,tile_w,channels
2023-06-21_18h27m40s,0,256,256,256,16
2023-06-21_18h27m40s,0,512,256,256,16
2022-01-31_09h55m03s,0,0,256,256,27
2024-07-02_13h47m39s,0,0,256,256,64
2024-07-02_13h47m39s,256,0,256,256,64
2023-01-19_20h17m55s,0,0,256,256,9
2023-01-19_20h17m55s,0,256,256,256,9
2023-01-19_20h17m55s,0,512,256,256,9
2023-01-19_20h17m55s,256,0,256,256,9
2023-01-19_20h17m55s,256,256,256,256,9
2023-01-19_20h17m55s,256,512,256,256,9
2024-04-25_15h36m07s,0,0,256,256,9
2024-04-25_15h36m07s,0,256,256,256,9
2024-04-25_15h36m07s,256,0,256,256,9
2024-04-25_15h36m07s,256,256,256,256,9
2022-01-25_08h09m47s,0,0,256,256,61
2024-12-02_12h22m27s,0,5120,256,256,64
2024-12-02_12h22m27s,0,5376,256,256,64
2024-12-02_12h22m27s,0,6144,256,256,64
2024-12-02_12h22m27s,768,2816,256,256,64
2024-12-02_12h22m27s,768,3072,256,256,64
2024-06-12_15h50m34s,0,0,256,256,29
2024-09-10_21h28m37s,0,0,256,256,24
2024-09-10_21h28m37s,0,256,256,256,24
2024-12-02_12h28m30s,0,2048,256,256,46
2024-12-02_12h28m30s,256,1792,256,256,9
2024-12-02_12h28m30s,256,2048,256,256,54
2024-12-02_12h28m30s,1024,0,256,256,52
2024-12-02_12h28m30s,1280,0,256,256,57
2024-12-02_12h28m30s,0,6400,256,256,51
2023-09-11_18h53m27s,0,3840,256,256,33
2023-09-11_18h53m27s,256,3584,256,256,42
2023-09-11_18h53m27s,1024,3328,256,256,16
2023-09-11_18h53m27s,1280,3584,256,256,40
2023-09-11_18h53m27s,1280,3840,256,256,33
2024-12-02_12h22m27s,1280,0,256,256,64
2023-01-18_15h40m36s,0,0,256,256,39
2023-01-19_18h03m59s,0,0,256,256,9
2023-01-19_18h03m59s,0,256,256,256,9
2023-01-19_18h03m59s,256,0,256,256,9
2023-01-19_18h03m59s,256,256,256,256,9
2023-01-19_20h45m02s,0,0,256,256,64
2023-01-13_15h22m08s,0,0,256,256,53
2023-01-18_15h41m08s,0,0,256,256,56
2023-03-17_13h54m41s,0,3072,256,256,64
2023-03-17_13h54m41s,256,3072,256,256,64
2023-03-17_13h54m41s,1280,0,256,256,64
2023-03-17_13h54m41s,1280,256,256,256,57
2021-12-20_20h14m16s,0,0,256,256,9
2021-12-20_20h14m16s,256,0,256,256,9
2021-12-20_20h14m16s,512,0,256,256,9
2024-12-18_21h17m09s,0,0,256,256,9
2023-01-19_18h38m30s,0,0,256,256,9
2023-01-19_18h38m30s,0,256,256,256,9
2023-01-19_18h38m30s,256,0,256,256,9
2023-01-19_18h38m30s,256,256,256,256,9
2021-11-08_21h02m08s,0,0,256,256,13
2021-11-08_21h13m55s,0,0,256,256,10
2021-11-08_20h59m40s,0,0,256,256,8
2021-11-08_20h59m40s,0,256,256,256,8
2022-11-14_05h15m11s,0,0,256,256,24
